have_formal_word,have_respone,num_misspelled_words,bad_grammar,keyword,requests_personal_info,sense_of_urgency,sense_of_threat,long_email,number_special_chars,number_digits,number_chars,number_words,number_links,suspicious_link,number_dot_in_link,spam
0,0,15,1,0,0,0,0,1,0,0,776,113,0,0,0,1
0,0,19,1,0,0,0,0,1,0,0,442,64,0,0,0,1
1,0,3,1,0,0,0,0,0,0,0,237,40,0,0,0,1
0,0,7,1,0,0,0,0,0,0,0,288,46,0,0,0,1
0,0,2,1,0,0,0,0,0,0,0,110,19,0,0,0,1
0,0,19,1,0,0,0,0,0,0,0,319,57,0,0,0,1
0,0,83,1,0,0,0,0,1,0,0,5399,814,0,0,0,1
0,0,6,1,0,0,0,0,0,0,0,205,39,0,0,0,1
1,0,13,1,0,0,0,0,0,0,0,235,47,0,0,0,1
0,0,5,1,0,0,0,0,0,0,0,204,39,0,0,0,1
0,0,7,1,0,0,0,0,0,0,0,407,76,1,1,4,1
0,0,6,1,0,0,0,0,0,0,0,206,39,0,0,0,1
0,0,1,1,0,0,0,0,1,0,0,447,72,0,0,0,1
0,0,69,1,0,0,0,1,1,0,0,4699,737,0,0,0,1
0,0,3,1,0,0,0,0,0,0,0,396,57,0,0,0,1
1,0,3,1,0,0,0,0,1,0,0,562,93,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,116,21,0,0,0,1
0,0,17,1,0,0,0,0,0,0,0,371,60,0,0,0,1
1,0,0,1,0,0,0,0,0,0,0,57,8,0,0,0,1
0,0,25,1,0,0,0,0,1,0,0,1411,222,0,0,0,1
0,0,4,1,0,0,0,0,0,0,0,176,33,0,0,0,1
0,0,5,1,0,0,0,0,0,0,0,351,60,1,1,4,1
0,0,6,1,0,0,0,0,1,0,0,444,71,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,142,25,0,0,0,1
0,0,0,1,0,0,0,0,0,0,0,183,33,0,0,0,1
0,0,6,1,0,0,0,0,1,0,0,531,101,2,1,8,1
0,0,8,1,0,0,0,0,1,0,0,466,81,0,0,0,1
